item_id,item_name,item_detail
ITEM000053,ドライバーハイパワープロ仕様,軽量で使いやすいドライバーです。ドライバーハイパワープロ仕様は、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000054,塗料防湿モデル,遮音性能の高い塗料です。塗料防湿モデルは、建築現場での使用に最適化されています。
ITEM000055,防塵マスク耐熱グレード SGマーク取得,通気性の良い防塵マスクです。防塵マスク耐熱グレード SGマーク取得は、作業者の安全を確保するために設計されています。
ITEM000056,電気工具ハイパワープロ仕様,使いやすい電気工具です。電気工具ハイパワープロ仕様は、プロの現場作業に最適化されています。
ITEM000057,防護服通気性スタイル,防護性能の高い防護服です。防護服通気性スタイルは、作業者の安全を確保するために設計されています。
ITEM000058,外装材高品質クラス,デザイン性の高い外装材です。外装材高品質クラスは、建築現場での使用に最適化されています。
ITEM000059,安全帯軽量タイプ,防護性能の高い安全帯です。安全帯軽量タイプは、作業者の安全を確保するために設計されています。
ITEM000060,安全帯防音モデル,耐久性に優れた安全帯です。安全帯防音モデルは、作業者の安全を確保するために設計されています。
ITEM000061,グラインダーマルチシリーズ バッテリー付属,安全設計のグラインダーです。グラインダーマルチシリーズ バッテリー付属は、プロの現場作業に最適化されています。
ITEM000062,防音ヘッドホン通気性スタイル 洗濯可能,軽量で使いやすい防音ヘッドホンです。防音ヘッドホン通気性スタイル 洗濯可能は、作業者の安全を確保するために設計されています。
ITEM000063,接着剤標準クラス,断熱性能の高い接着剤です。接着剤標準クラスは、建築現場での使用に最適化されています。
ITEM000064,膝当て通気性スタイル サイズ調整可能,耐久性に優れた膝当てです。膝当て通気性スタイル サイズ調整可能は、作業者の安全を確保するために設計されています。
ITEM000065,切断工具耐久タイプ,使いやすい切断工具です。切断工具耐久タイプは、プロの現場作業に最適化されています。
ITEM000066,ノコギリ耐久タイプ 充電式,高精度なノコギリです。ノコギリ耐久タイプ 充電式は、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000068,配管工具プロ仕様モデル,多機能な配管工具です。配管工具プロ仕様モデルは、プロの現場作業に最適化されています。
ITEM000069,つま先カバー快適スタイル,通気性の良いつま先カバーです。つま先カバー快適スタイルは、作業者の安全を確保するために設計されています。調整可能な設計で、様々な体型に対応できます。
ITEM000070,床材高品質タイプ,環境に配慮した床材です。床材高品質タイプは、建築現場での使用に最適化されています。断熱性能が高く、省エネ効果が期待できます。
ITEM000071,外装材プレミアムグレード,施工が容易な外装材です。外装材プレミアムグレードは、建築現場での使用に最適化されています。
ITEM000072,安全靴安全規格対応スタイル,防護性能の高い安全靴です。安全靴安全規格対応スタイルは、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000073,大工工具精密キット バッテリー付属,軽量で使いやすい大工工具です。大工工具精密キット バッテリー付属は、プロの現場作業に最適化されています。
ITEM000074,石材遮熱用 長期保証付き,耐久性に優れた石材です。石材遮熱用 長期保証付きは、建築現場での使用に最適化されています。
ITEM000075,サンダーコンパクトキット,多機能なサンダーです。サンダーコンパクトキットは、プロの現場作業に最適化されています。
ITEM000076,配管工具ハイパワーセット,耐久性に優れた配管工具です。配管工具ハイパワーセットは、プロの現場作業に最適化されています。安全機能が充実しており、作業効率と安全性を両立しています。
ITEM000077,電気工具精密モデル,プロ仕様の電気工具です。電気工具精密モデルは、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000078,断熱材耐候モデル,施工が容易な断熱材です。断熱材耐候モデルは、建築現場での使用に最適化されています。
ITEM000079,切断工具精密キット,高精度な切断工具です。切断工具精密キットは、プロの現場作業に最適化されています。
ITEM000080,ハンマー軽量セット,耐久性に優れたハンマーです。ハンマー軽量セットは、プロの現場作業に最適化されています。
ITEM000081,電気工具マルチシリーズ,多機能な電気工具です。電気工具マルチシリーズは、プロの現場作業に最適化されています。
ITEM000082,切断工具マルチシリーズ,高精度な切断工具です。切断工具マルチシリーズは、プロの現場作業に最適化されています。
ITEM000083,金属防音用,メンテナンスが簡単な金属です。金属防音用は、建築現場での使用に最適化されています。
ITEM000084,防水材防湿用,デザイン性の高い防水材です。防水材防湿用は、建築現場での使用に最適化されています。
ITEM000085,安全靴安全規格対応クラス 交換パーツ付属,耐久性に優れた安全靴です。安全靴安全規格対応クラス 交換パーツ付属は、作業者の安全を確保するために設計されています。
ITEM000086,防塵マスク耐熱クラス,規格適合の防塵マスクです。防塵マスク耐熱クラスは、作業者の安全を確保するために設計されています。快適な着け心地を実現し、長時間の作業でも疲れにくい設計です。
ITEM000087,反射ベスト防衝撃グレード,安全性の高い反射ベストです。反射ベスト防衝撃グレードは、作業者の安全を確保するために設計されています。
ITEM000088,塗装工具プロ仕様シリーズ,多機能な塗装工具です。塗装工具プロ仕様シリーズは、プロの現場作業に最適化されています。
ITEM000089,電気工具プロ仕様キット,多機能な電気工具です。電気工具プロ仕様キットは、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000090,安全帯防音クラス,軽量で使いやすい安全帯です。安全帯防音クラスは、作業者の安全を確保するために設計されています。
ITEM000091,耳栓防塵タイプ,安全性の高い耳栓です。耳栓防塵タイプは、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000092,ハンマーコンパクトモデル,耐久性に優れたハンマーです。ハンマーコンパクトモデルは、プロの現場作業に最適化されています。
ITEM000093,安全靴防音シリーズ,通気性の良い安全靴です。安全靴防音シリーズは、作業者の安全を確保するために設計されています。
ITEM000094,反射ベスト軽量グレード,軽量で使いやすい反射ベストです。反射ベスト軽量グレードは、作業者の安全を確保するために設計されています。
ITEM000095,大工工具精密セット,高精度な大工工具です。大工工具精密セットは、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000096,ドライバー耐久セット,プロ仕様のドライバーです。ドライバー耐久セットは、プロの現場作業に最適化されています。
ITEM000097,防音ヘッドホン耐熱モデル,軽量で使いやすい防音ヘッドホンです。防音ヘッドホン耐熱モデルは、作業者の安全を確保するために設計されています。
ITEM000098,床材エコモデル,安全性の高い床材です。床材エコモデルは、建築現場での使用に最適化されています。
ITEM000099,電気耐火グレード,断熱性能の高い電気です。電気耐火グレードは、建築現場での使用に最適化されています。
ITEM000100,サンダープロ仕様プロ仕様,作業効率の高いサンダーです。サンダープロ仕様プロ仕様は、プロの現場作業に最適化されています。
ITEM000101,金属プレミアムスタイル リサイクル材使用,施工が容易な金属です。金属プレミアムスタイル リサイクル材使用は、建築現場での使用に最適化されています。
ITEM000102,配管工具ハイパワーモデル,作業効率の高い配管工具です。配管工具ハイパワーモデルは、プロの現場作業に最適化されています。
ITEM000103,反射ベスト耐熱モデル,通気性の良い反射ベストです。反射ベスト耐熱モデルは、作業者の安全を確保するために設計されています。
ITEM000104,塗装工具コンパクトキット,耐久性に優れた塗装工具です。塗装工具コンパクトキットは、プロの現場作業に最適化されています。
ITEM000105,配管プレミアムタイプ,断熱性能の高い配管です。配管プレミアムタイプは、建築現場での使用に最適化されています。
ITEM000106,保護メガネ安全規格対応シリーズ,快適な着け心地の保護メガネです。保護メガネ安全規格対応シリーズは、作業者の安全を確保するために設計されています。
ITEM000107,耐火材防湿スタイル,デザイン性の高い耐火材です。耐火材防湿スタイルは、建築現場での使用に最適化されています。
ITEM000108,配管工具精密プロ仕様,安全設計の配管工具です。配管工具精密プロ仕様は、プロの現場作業に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000109,防水材遮熱グレード ISO認証取得,耐久性に優れた防水材です。防水材遮熱グレード ISO認証取得は、建築現場での使用に最適化されています。
ITEM000110,電気エコモデル,断熱性能の高い電気です。電気エコモデルは、建築現場での使用に最適化されています。断熱性能が高く、省エネ効果が期待できます。
ITEM000111,グラインダー重作業用タイプ,作業効率の高いグラインダーです。グラインダー重作業用タイプは、プロの現場作業に最適化されています。
ITEM000112,溶接工具軽量セット,プロ仕様の溶接工具です。溶接工具軽量セットは、プロの現場作業に最適化されています。
ITEM000113,配管エコ用 JIS規格適合,環境に配慮した配管です。配管エコ用 JIS規格適合は、建築現場での使用に最適化されています。耐候性試験を実施し、10年間の品質保証が付いています。
ITEM000114,配管プレミアムモデル,メンテナンスが簡単な配管です。配管プレミアムモデルは、建築現場での使用に最適化されています。
ITEM000115,安全帯通気性タイプ,快適な着け心地の安全帯です。安全帯通気性タイプは、作業者の安全を確保するために設計されています。
ITEM000116,安全靴通気性スタイル,通気性の良い安全靴です。安全靴通気性スタイルは、作業者の安全を確保するために設計されています。洗濯可能で、清潔な状態を保てます。
ITEM000117,内装材遮熱用 環境配慮型,コストパフォーマンスの高い内装材です。内装材遮熱用 環境配慮型は、建築現場での使用に最適化されています。耐候性試験を実施し、10年間の品質保証が付いています。
ITEM000118,耳栓通気性シリーズ,快適な着け心地の耳栓です。耳栓通気性シリーズは、作業者の安全を確保するために設計されています。快適な着け心地を実現し、長時間の作業でも疲れにくい設計です。
ITEM000119,グラインダー耐久モデル,多機能なグラインダーです。グラインダー耐久モデルは、プロの現場作業に最適化されています。
ITEM000120,接着剤耐候タイプ JIS規格適合,コストパフォーマンスの高い接着剤です。接着剤耐候タイプ JIS規格適合は、建築現場での使用に最適化されています。施工時の作業効率を考慮した設計で、プロの職人にも好評です。
ITEM000121,接着剤標準スタイル,コストパフォーマンスの高い接着剤です。接着剤標準スタイルは、建築現場での使用に最適化されています。環境に配慮した素材を使用し、リサイクル可能な設計となっています。
ITEM000122,レンチ耐久シリーズ,多機能なレンチです。レンチ耐久シリーズは、プロの現場作業に最適化されています。
ITEM000123,ヘルメット防衝撃スタイル,快適な着け心地のヘルメットです。ヘルメット防衝撃スタイルは、作業者の安全を確保するために設計されています。
ITEM000124,溶接工具軽量セット,多機能な溶接工具です。溶接工具軽量セットは、プロの現場作業に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000125,作業手袋安全規格対応スタイル,軽量で使いやすい作業手袋です。作業手袋安全規格対応スタイルは、作業者の安全を確保するために設計されています。
ITEM000126,保護メガネ防衝撃モデル,快適な着け心地の保護メガネです。保護メガネ防衝撃モデルは、作業者の安全を確保するために設計されています。
ITEM000127,ヘルメット安全規格対応モデル,規格適合のヘルメットです。ヘルメット安全規格対応モデルは、作業者の安全を確保するために設計されています。
ITEM000128,作業手袋耐熱グレード,防護性能の高い作業手袋です。作業手袋耐熱グレードは、作業者の安全を確保するために設計されています。
ITEM000129,耳栓安全規格対応タイプ,防護性能の高い耳栓です。耳栓安全規格対応タイプは、作業者の安全を確保するために設計されています。洗濯可能で、清潔な状態を保てます。
ITEM000130,石材遮熱スタイル,環境に配慮した石材です。石材遮熱スタイルは、建築現場での使用に最適化されています。
ITEM000131,防音ヘッドホン防音クラス,快適な着け心地の防音ヘッドホンです。防音ヘッドホン防音クラスは、作業者の安全を確保するために設計されています。
ITEM000132,防水材遮熱タイプ,コストパフォーマンスの高い防水材です。防水材遮熱タイプは、建築現場での使用に最適化されています。
ITEM000133,保護メガネ軽量タイプ,耐久性に優れた保護メガネです。保護メガネ軽量タイプは、作業者の安全を確保するために設計されています。国際安全規格に準拠し、最高レベルの安全性を確保しています。
ITEM000134,耳栓安全規格対応タイプ,防護性能の高い耳栓です。耳栓安全規格対応タイプは、作業者の安全を確保するために設計されています。
ITEM000135,研磨工具精密プロ仕様,耐久性に優れた研磨工具です。研磨工具精密プロ仕様は、プロの現場作業に最適化されています。
ITEM000136,防塵マスク通気性グレード,規格適合の防塵マスクです。防塵マスク通気性グレードは、作業者の安全を確保するために設計されています。洗濯可能で、清潔な状態を保てます。
ITEM000137,金工工具精密プロ仕様,高精度な金工工具です。金工工具精密プロ仕様は、プロの現場作業に最適化されています。使いやすさを追求した設計で、初心者でも安心して使用できます。
ITEM000138,保護メガネ耐熱モデル,通気性の良い保護メガネです。保護メガネ耐熱モデルは、作業者の安全を確保するために設計されています。
ITEM000139,モルタル耐震クラス,デザイン性の高いモルタルです。モルタル耐震クラスは、建築現場での使用に最適化されています。
ITEM000140,切断工具重作業用プロ仕様,プロ仕様の切断工具です。切断工具重作業用プロ仕様は、プロの現場作業に最適化されています。
ITEM000141,金属エコスタイル,耐久性に優れた金属です。金属エコスタイルは、建築現場での使用に最適化されています。環境に配慮した素材を使用し、リサイクル可能な設計となっています。
ITEM000142,研磨工具重作業用プロ仕様,プロ仕様の研磨工具です。研磨工具重作業用プロ仕様は、プロの現場作業に最適化されています。
ITEM000143,配管高品質グレード,環境に配慮した配管です。配管高品質グレードは、建築現場での使用に最適化されています。
ITEM000144,防塵マスク防塵クラス,規格適合の防塵マスクです。防塵マスク防塵クラスは、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000145,シーリング材防湿スタイル,コストパフォーマンスの高いシーリング材です。シーリング材防湿スタイルは、建築現場での使用に最適化されています。断熱性能が高く、省エネ効果が期待できます。
ITEM000146,測定工具ハイパワータイプ,安全設計の測定工具です。測定工具ハイパワータイプは、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000147,防塵マスク防音クラス,通気性の良い防塵マスクです。防塵マスク防音クラスは、作業者の安全を確保するために設計されています。
ITEM000148,内装材耐候タイプ,安全性の高い内装材です。内装材耐候タイプは、建築現場での使用に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000149,ノコギリプロ仕様シリーズ,高精度なノコギリです。ノコギリプロ仕様シリーズは、プロの現場作業に最適化されています。高精度な加工が可能で、プロの職人にも好評です。
ITEM000150,ヘルメット防衝撃クラス,軽量で使いやすいヘルメットです。ヘルメット防衝撃クラスは、作業者の安全を確保するために設計されています。
ITEM000151,保護メガネ快適グレード,規格適合の保護メガネです。保護メガネ快適グレードは、作業者の安全を確保するために設計されています。
ITEM000152,ノコギリ精密モデル,プロ仕様のノコギリです。ノコギリ精密モデルは、プロの現場作業に最適化されています。
ITEM000153,サンダー精密プロ仕様,高精度なサンダーです。サンダー精密プロ仕様は、プロの現場作業に最適化されています。
ITEM000154,耳栓通気性シリーズ,安全性の高い耳栓です。耳栓通気性シリーズは、作業者の安全を確保するために設計されています。
ITEM000155,ヘルメット防音モデル,規格適合のヘルメットです。ヘルメット防音モデルは、作業者の安全を確保するために設計されています。
ITEM000156,反射ベスト快適モデル,通気性の良い反射ベストです。反射ベスト快適モデルは、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000157,防水材耐火スタイル,遮音性能の高い防水材です。防水材耐火スタイルは、建築現場での使用に最適化されています。
ITEM000158,安全帯安全規格対応スタイル,耐久性に優れた安全帯です。安全帯安全規格対応スタイルは、作業者の安全を確保するために設計されています。
ITEM000159,建具防音モデル,耐久性に優れた建具です。建具防音モデルは、建築現場での使用に最適化されています。
ITEM000160,接着剤耐火クラス リサイクル材使用,メンテナンスが簡単な接着剤です。接着剤耐火クラス リサイクル材使用は、建築現場での使用に最適化されています。耐候性試験を実施し、10年間の品質保証が付いています。
ITEM000161,タイル耐火グレード,遮音性能の高いタイルです。タイル耐火グレードは、建築現場での使用に最適化されています。耐候性試験を実施し、10年間の品質保証が付いています。
ITEM000162,保護メガネ快適クラス,防護性能の高い保護メガネです。保護メガネ快適クラスは、作業者の安全を確保するために設計されています。快適な着け心地を実現し、長時間の作業でも疲れにくい設計です。
ITEM000163,溶接工具コンパクトプロ仕様,耐久性に優れた溶接工具です。溶接工具コンパクトプロ仕様は、プロの現場作業に最適化されています。
ITEM000164,ドライバー耐久セット,耐久性に優れたドライバーです。ドライバー耐久セットは、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
ITEM000165,防護服軽量スタイル,規格適合の防護服です。防護服軽量スタイルは、作業者の安全を確保するために設計されています。
ITEM000166,グラインダー精密プロ仕様,軽量で使いやすいグラインダーです。グラインダー精密プロ仕様は、プロの現場作業に最適化されています。
ITEM000469,測定工具軽量プロ仕様,多機能な測定工具です。測定工具軽量プロ仕様は、プロの現場作業に最適化されています。
ITEM000167,防音材耐候用,安全性の高い防音材です。防音材耐候用は、建築現場での使用に最適化されています。耐候性試験を実施し、10年間の品質保証が付いています。
ITEM000168,木材防音用,耐久性に優れた木材です。木材防音用は、建築現場での使用に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000169,作業手袋通気性タイプ,快適な着け心地の作業手袋です。作業手袋通気性タイプは、作業者の安全を確保するために設計されています。
ITEM000170,木材遮熱スタイル,メンテナンスが簡単な木材です。木材遮熱スタイルは、建築現場での使用に最適化されています。
ITEM000171,安全帯耐熱モデル,防護性能の高い安全帯です。安全帯耐熱モデルは、作業者の安全を確保するために設計されています。
ITEM000172,レンチ耐久セット,軽量で使いやすいレンチです。レンチ耐久セットは、プロの現場作業に最適化されています。高精度な加工が可能で、プロの職人にも好評です。
ITEM000173,反射ベスト安全規格対応クラス,軽量で使いやすい反射ベストです。反射ベスト安全規格対応クラスは、作業者の安全を確保するために設計されています。調整可能な設計で、様々な体型に対応できます。
ITEM000174,研磨工具精密シリーズ,使いやすい研磨工具です。研磨工具精密シリーズは、プロの現場作業に最適化されています。
ITEM000175,膝当て耐熱グレード,通気性の良い膝当てです。膝当て耐熱グレードは、作業者の安全を確保するために設計されています。
ITEM000176,塗料防音スタイル,耐久性に優れた塗料です。塗料防音スタイルは、建築現場での使用に最適化されています。施工時の作業効率を考慮した設計で、プロの職人にも好評です。
ITEM000177,サンダー重作業用プロ仕様,耐久性に優れたサンダーです。サンダー重作業用プロ仕様は、プロの現場作業に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000178,塗装工具マルチモデル,安全設計の塗装工具です。塗装工具マルチモデルは、プロの現場作業に最適化されています。高精度な加工が可能で、プロの職人にも好評です。
ITEM000179,電気エコグレード,遮音性能の高い電気です。電気エコグレードは、建築現場での使用に最適化されています。
ITEM000180,反射ベスト快適クラス,安全性の高い反射ベストです。反射ベスト快適クラスは、作業者の安全を確保するために設計されています。
ITEM000181,床材高品質モデル,安全性の高い床材です。床材高品質モデルは、建築現場での使用に最適化されています。
ITEM000182,つま先カバー防塵タイプ SGマーク取得,軽量で使いやすいつま先カバーです。つま先カバー防塵タイプ SGマーク取得は、作業者の安全を確保するために設計されています。
ITEM000183,防音ヘッドホン防音タイプ,耐久性に優れた防音ヘッドホンです。防音ヘッドホン防音タイプは、作業者の安全を確保するために設計されています。
ITEM000184,安全帯軽量グレード,通気性の良い安全帯です。安全帯軽量グレードは、作業者の安全を確保するために設計されています。洗濯可能で、清潔な状態を保てます。
ITEM000185,外装材防音クラス ISO認証取得,施工が容易な外装材です。外装材防音クラス ISO認証取得は、建築現場での使用に最適化されています。断熱性能が高く、省エネ効果が期待できます。
ITEM000186,耳栓防衝撃タイプ,規格適合の耳栓です。耳栓防衝撃タイプは、作業者の安全を確保するために設計されています。
ITEM000187,ハンマーコンパクトプロ仕様,多機能なハンマーです。ハンマーコンパクトプロ仕様は、プロの現場作業に最適化されています。
ITEM000188,コンクリート遮熱モデル,施工が容易なコンクリートです。コンクリート遮熱モデルは、建築現場での使用に最適化されています。
ITEM000189,安全帯通気性グレード サイズ調整可能,耐久性に優れた安全帯です。安全帯通気性グレード サイズ調整可能は、作業者の安全を確保するために設計されています。
ITEM000190,モルタルプレミアムグレード リサイクル材使用,遮音性能の高いモルタルです。モルタルプレミアムグレード リサイクル材使用は、建築現場での使用に最適化されています。
ITEM000191,壁材耐震シリーズ,遮音性能の高い壁材です。壁材耐震シリーズは、建築現場での使用に最適化されています。
ITEM000192,断熱材防音用,環境に配慮した断熱材です。断熱材防音用は、建築現場での使用に最適化されています。
ITEM000193,断熱材標準スタイル ISO認証取得,コストパフォーマンスの高い断熱材です。断熱材標準スタイル ISO認証取得は、建築現場での使用に最適化されています。
ITEM000194,内装材プレミアムスタイル,メンテナンスが簡単な内装材です。内装材プレミアムスタイルは、建築現場での使用に最適化されています。
ITEM000195,大工工具コンパクトキット,耐久性に優れた大工工具です。大工工具コンパクトキットは、プロの現場作業に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000196,ノコギリマルチプロ仕様,プロ仕様のノコギリです。ノコギリマルチプロ仕様は、プロの現場作業に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000197,大工工具耐久タイプ,安全設計の大工工具です。大工工具耐久タイプは、プロの現場作業に最適化されています。
